"ENSMBL.ID"	"log2FoldChange"	"padj"	"ENTREZID"	"SYMBOL"	"GENENAME"
"ENSG00000000003"	-0.467266308128341	1.08273499201511e-14	7105	"TSPAN6"	"tetraspanin 6"
"ENSG00000000005"	-1.36283534331467	1.41774282520165e-21	64102	"TNMD"	"tenomodulin"
"ENSG00000000419"	0.382945880382636	1.90707123819468e-13	8813	"DPM1"	"dolichyl-phosphate mannosyltransferase subunit 1, catalytic"
"ENSG00000000457"	-0.0696658142272898	0.0787470759957436	57147	"SCYL3"	"SCY1 like pseudokinase 3"
"ENSG00000000460"	0.247608129791949	2.57352783309004e-08	55732	"C1orf112"	"chromosome 1 open reading frame 112"
"ENSG00000000938"	0.500392826920755	1.58847329826367e-12	2268	"FGR"	"FGR proto-oncogene, Src family tyrosine kinase"
"ENSG00000000971"	-0.654117064420659	6.43923817349116e-13	3075	"CFH"	"complement factor H"
"ENSG00000001036"	-0.321664827491762	6.84685290287551e-09	2519	"FUCA2"	"fucosidase, alpha-L- 2, plasma"
"ENSG00000001084"	0.082279237725306	0.104459005359445	2729	"GCLC"	"glutamate-cysteine ligase catalytic subunit"
"ENSG00000001167"	0.110176828175998	0.0266766146309342	4800	"NFYA"	"nuclear transcription factor Y subunit alpha"
"ENSG00000001460"	0.056073757763756	0.131038946145067	90529	"STPG1"	"sperm tail PG-rich repeat containing 1"
"ENSG00000001461"	-0.453331439226609	2.60688457389258e-35	57185	"NIPAL3"	"NIPA like domain containing 3"
"ENSG00000001497"	0.0679920658982156	0.0663820377735791	81887	"LAS1L"	"LAS1 like, ribosome biogenesis factor"
"ENSG00000001561"	-0.955395654772534	2.4653503939096e-29	22875	"ENPP4"	"ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative)"
"ENSG00000001617"	0.0560735835126427	0.445876820045424	6405	"SEMA3F"	"semaphorin 3F"
"ENSG00000001626"	-1.39453738222763	2.93263734498741e-31	1080	"CFTR"	"cystic fibrosis transmembrane conductance regulator"
"ENSG00000001629"	-0.215416630124973	1.76258149669349e-06	54467	"ANKIB1"	"ankyrin repeat and IBR domain containing 1"
"ENSG00000001630"	0.377973271082793	4.29284606321088e-09	1595	"CYP51A1"	"cytochrome P450 family 51 subfamily A member 1"
"ENSG00000001631"	-0.0446970501571256	0.474120837685351	889	"KRIT1"	"KRIT1, ankyrin repeat containing"
"ENSG00000002016"	-0.416945180349412	5.9775444468573e-10	5893	"RAD52"	"RAD52 homolog, DNA repair protein"
"ENSG00000002330"	-0.188834607515761	0.0071372935837787	572	"BAD"	"BCL2 associated agonist of cell death"
"ENSG00000002549"	0.82377670183221	4.53456322361112e-96	51056	"LAP3"	"leucine aminopeptidase 3"
"ENSG00000002586"	-0.629292401929376	3.46756373389196e-23	4267	"CD99"	"CD99 molecule (Xg blood group)"
"ENSG00000002587"	0.686757378617368	2.0949177565268e-15	9957	"HS3ST1"	"heparan sulfate-glucosamine 3-sulfotransferase 1"
"ENSG00000002726"	0.352757569723354	0.00242070190139365	26	"AOC1"	"amine oxidase, copper containing 1"
"ENSG00000002745"	-0.0509830760548438	0.549961729852713	51384	"WNT16"	"Wnt family member 16"
"ENSG00000002822"	-0.2140774313971	0.000641208545682022	8379	"MAD1L1"	"MAD1 mitotic arrest deficient like 1"
"ENSG00000002834"	-0.184198614236181	5.223635063311e-06	3927	"LASP1"	"LIM and SH3 protein 1"
"ENSG00000002919"	0.363053903094119	8.13128087076602e-26	29916	"SNX11"	"sorting nexin 11"
"ENSG00000002933"	0.299880589308665	0.000135320287305274	55365	"TMEM176A"	"transmembrane protein 176A"
"ENSG00000003056"	0.310754319957784	1.68553067153286e-25	4074	"M6PR"	"mannose-6-phosphate receptor, cation dependent"
"ENSG00000003096"	-0.906377134210598	8.60235666557798e-35	90293	"KLHL13"	"kelch like family member 13"
"ENSG00000003137"	-0.682204782768372	9.85178736013299e-25	56603	"CYP26B1"	"cytochrome P450 family 26 subfamily B member 1"
"ENSG00000003147"	-0.577341134755054	3.29987351254721e-24	3382	"ICA1"	"islet cell autoantigen 1"
"ENSG00000003249"	-0.0372409786637832	0.667783880512451	79007	"DBNDD1"	"dysbindin domain containing 1"
"ENSG00000003393"	-0.118405526256553	0.000682263671896118	57679	"ALS2"	"ALS2, alsin Rho guanine nucleotide exchange factor"
"ENSG00000003400"	0.917297649359686	2.61518505603013e-78	843	"CASP10"	"caspase 10"
"ENSG00000003402"	0.255581278921891	2.91933925515105e-12	8837	"CFLAR"	"CASP8 and FADD like apoptosis regulator"
"ENSG00000003436"	-0.378254228216176	1.56831373700358e-06	7035	"TFPI"	"tissue factor pathway inhibitor"
"ENSG00000003509"	-0.0364443966348038	0.427841177020211	55471	"NDUFAF7"	"NADH:ubiquinone oxidoreductase complex assembly factor 7"
"ENSG00000003756"	-0.217321048229667	0.00289491137126413	10181	"RBM5"	"RNA binding motif protein 5"
"ENSG00000003987"	-0.485282346285698	2.30423524710946e-11	9108	"MTMR7"	"myotubularin related protein 7"
"ENSG00000003989"	-0.498040498266906	3.92243050322957e-12	6542	"SLC7A2"	"solute carrier family 7 member 2"
